Ref	Target	Main organ/system affected	Unspecified mechanism effects_General	Agonism/Activation effects_Acute dosing	Agonism/Activation effects_Chronic dosing	Agonism/Activation effects_Developmental toxicity	Agonism/Activation effects_General	Antagonism/Inhibition effects_Acute dosing	Antagonism/Inhibition effects_Chronic dosing	Antagonism/Inhibition effects_Developmental toxicity	Antagonism/Inhibition effects_General		
Lynch et al. (2017)	ABCC8	cardiovascular; pancreas; renal		decreased blood pressure; increased heart rate; abnormal pulse; cardiac arrhythmia; cardiac lesions; decreased blood insulin; increased/decreased blood glucose; decreased convulsions				decreased heart rate; atrioventricular block; increased blood insulin; decreased blood glucose; increased urine excretion; increased urinary sodium excretion					122
Lynch et al. (2017)	ABCC9	cardiovascular; pancreas; renal		decreased blood pressure; increased heart rate; abnormal pulse; cardiac arrhythmia; cardiac lesions; decreased blood insulin; increased/decreased blood glucose; decreased convulsions				decreased heart rate; atrioventricular block; increased blood insulin; decreased blood glucose; increased urine excretion; increased urinary sodium excretion					
Lynch et al. (2017)	ACE	cardiovascular; renal						decreased blood pressure; increased urine excretion; increased urinary sodium excretion; proximal tubular degeneration; juxtaglomerular cell hyperplasia; interstitial cell infiltration; gastrointestinal hemorrhagic erosion/ulcer; decreased bone marrow erythropoiesis; hepatocytic vacuolar degeneration		increased risk spontaneous abortion			
Bowes et al. (2012)	ACHE	cardiovascular system; gastrointestinal; pulmonary						decreased gastrointestinal motility 			decreased blood pressure; decreased heart rate; increased gastrointestinal motility; bronchoconstriction; increased respiratory secretions		
Lynch et al. (2017)	ACHE	nervous system; respiratory; gastrointestinal; cardiovascular						apnea; bronchoconstriction; increased bronchial secretions; muscle relaxation; ataxia; increased salivation; lacrimation; decreased pupil diameter; blurred vision; increased urine excretion; increased defecation; diarrhea; vomiting; increased then decreased blood pressure; increased then decreased heart rate; convulsions; coma; death	cognitive deficit; mood change; autonomic dysfunction; peripheral neuropathy; tingling/weakness in limbs; foot drop				
Lynch et al. (2017)	ADORA1	nervous system; renal; cardiovascular		decreased pain; decreased heart rate; decreased blood pressure; atrioventricular block; cardiac arrhythmia; heart failure; death				convulsions; increased urine excretion; increased urinary sodium excretion					
Urban et al. (2012); HeCaToS	ADORA1	cardiovascular system; nervous system; renal					cardioprotection; bradycardia; vasoconstriction; bronchoconstriction; induction of sleep				vasodilation; diuresis; natriuresis		
Bowes et al. (2012)	ADORA2A	cardiovascular system; central nervous system					coronary vasodilation; decreased blood pressure; decreased reflex; increased heart rate; decreased platelet aggregation ; decreased leukocyte activation; decreased locomotor activity; sleep induction				potential for stimulation of platelet aggregation; increased blood pressure; nervousness (tremors, agitation); arousal; insomnia		
Lynch et al. (2017)	ADORA2A	cardiovascular; blood; central nervous system		decreased blood pressure; increased heart rate; decreased platelet aggregation				increased blood pressure; increased heart rate; increased platelet aggregation; increased aggression					
Urban et al. (2012); HeCaToS	ADORA2A	cardiovascular system; nervous system					inhibition of platelet aggregation; antiinflammation; neuroprotective effects; coronary vasodilation; decreased blood pressure; increased plasma renin activity; sleep induction				increased platelet aggregation; hypertension; nervousness (tremors, agitation); arousal; insomnia; cerebral and coronary vasodilation (in microvessels only)		
Lynch et al. (2017)	ADORA2B	immune; peripheral nervous system		increased/decreased inflammation				increased/decreased inflammation; decreased pain					
Lynch et al. (2017)	ADORA3	nervous system; respiratory		decreased pain; decreased convulsions; decreased locomotor activity; increased bronchoconstriction				increased convulsions					
Urban et al. (2012); HeCaToS	ADORA3	cardiovascular system; immune					immunosuppression; hypotension; antiischaemic (cardioprotective); proischemic (cerebral); cell necrosis; cell proliferation; angiogenesis				myocardial ischemia (inferred by author); proinflammatory effects (inferred by author); hypertension (inferred by author); interference with the regulation of cell growth (inferred by author)		
Bowes et al. (2012)	ADRA1A	cardiovascular system; gastrointestinal; central nervous system					smooth muscle contraction; increased blood pressure; cardiac positive ionotropy; potential for arrhythmia; mydriasis; decreased insulin release				decreased smooth muscle tone; orthostatic hypotension; increased heart rate; dizziness; impact on various aspects of sexual function		
Lynch et al. (2017)	ADRA1A	cardiovascular		increased blood pressure; increased cardiac contractility; cardiac arrhythmia; vascular hypertrophy; increased pupil diameter				decreased blood pressure; increased heart rate; orthostatic hypotension; chronic heart failure; dizziness; retrograde ejaculation					
Urban et al. (2012); HeCaToS	ADRA1A	cardiovascular system; gastrointestinal					smooth-muscle contraction (prostate in particular, effects on the lower urinary tract); cardiac positive ionotropy; arrhythmia				orthostatic hypotension; other bloodpressure- related adverse effects; impact on various aspects of sexual function		
Lynch et al. (2017)	ADRA1B	cardiovascular; nervous system; renal		decreased blood pressure; orthostatic hypotension; cardiac hypertrophy; convulsions; decreased locomotor activity; neurodegeneration				decreased blood pressure					
Bowes et al. (2012)	ADRA2A	cardiovascular system; central nervous system					decreased noradrenaline release and sympathetic neurotransmission; decreased blood pressure; decreased heart rate; mydriasis; sedation				increased gastrointestinal motility; increased insulin secretion		
Lynch et al. (2017)	ADRA2A	cardiovascular; nervous system; gastrointestinal; pancreas		decreased blood pressure; decreased heart rate; sedation; decreased pain; decreased memory; increased pupil diameter; decreased body temperature; decreased gastric emptying; decreased blood insulin				increased heart rate; increased gastrointestinal transit; increased convulsions; increased blood insulin					
Urban et al. (2012); HeCaToS	ADRA2A	cardiovascular system; nervous system					sedation; analgesia; anesthetic-sparing effect; central hypotension (reduction of blood pressure and heart rate); hypothermia; hyperglycemia; memory impairment; weight gain				may induce gastrointestinal prokinetic effects		
Lynch et al. (2017)	ADRA2B	cardiovascular; nervous system		increased blood pressure; increased heart rate; cardiac ischemia; increased heart failure; decreased pain; sedation; skeletal muscle tremor				decreased blood pressure		decreased survival			
Urban et al. (2012); HeCaToS	ADRA2C	cardiovascular system; central nervous system					involved in many processes such as the startle reflex, stress response, and locomotion; venous contraction (contraction of human saphenous vein); hypertension; cardiac ischemia						
Bowes et al. (2012)	ADRB1	cardiovascular system; gastrointestinal					increased heart rate; increased cardiac contractility; electrolyte disturbances; increased renin release; relaxation of colon and oesophagus; lipolysis				decreased blood pressure; decreased heart rate; decreased cardiac output		
Lynch et al. (2017)	ADRB1	cardiovascular		increased heart rate; increased cardiac contractility; ventricular fibrillation; bronchospasm	cardiac hypertrophy; myocardial fibrosis; heart failure			decreased blood pressure; decreased heart rate					
Urban et al. (2012); HeCaToS	ADRB1	cardiovascular system					may stimulate cardiac muscle (increase heart rate and force of contraction); may contribute to the relaxation of blood vessels				may stress cardiovascular performance; bradycardia		
Bowes et al. (2012)	ADRB2	pulmonary; cardiovascular system					increased heart rate; bronchodilation; peripheral vasodilation; skeletal muscle tremor; increased glycogenolysis and glucagon release				decreased blood pressure		
Lynch et al. (2017)	ADRB2	cardiovascular; blood		increased heart rate; increased cardiac contractility; increased QTc interval; heart failure; decreased blood potassium; increased blood glucose; bronchospasm				increased blood pressure					
Urban et al. (2012); HeCaToS	ADRB2	cardiovascular system					may relax smooth muscle; may contribute to cardiac contractility (bronchodilatation, cardiac arrest); hypotonia; vasodilatation of the vascular beds of skeletal muscle				bradycardia; may stress cardiovascular performance (b blockers)		
Lynch et al. (2017)	AGTR1	renal; cardiovascular		increased blood pressure; decreased urinary sodium excretion; increased pain				decreased blood pressure; decreased pain; increased/decreased urine excretion; increased/decreased urinary sodium excretion		death; oligoamnios; renal failure; decreased blood pressure; pulmonary hypoplasia; respiratory distress syndrome; persistent patent ductus arteriosus; hypocalvaria; limb defects; intrauterine growth retardation; cerebral complications			
Urban et al. (2012); HeCaToS	AGTR1	cardiovascular system					vasocontriction; positive inotropy; cell proliferation and migration				antihypertensive and cardioprotective agent; hypotension; dry mouth; excessive thirst; dizziness; slow or irregular heartbeat		
Lynch et al. (2017)	AGTR2	renal		increased urine excretion; increased urinary sodium excretion				decreased pain		death; oligoamnios; renal failure; decreased blood pressure; pulmonary hypoplasia; respiratory distress syndrome; persistent patent ductus arteriosus; hypocalvaria; limb defects; intrauterine growth retardation; cerebral complications			
Urban et al. (2012); HeCaToS	AKT1	cardiovascular system					may be cardioprotective				hyperglycemia; apoptototic cell death in cancer cells		
Bowes et al. (2012)	AR	endocrine					increased prostate carcinoma; oedema; androgenicity females; increased muscle mass; increased hostility; sleep apnoea; liver complications				decreased spermatogenesis; impotence; gynecomastia; mastodynia; increased breast carcinoma		
Lynch et al. (2017)	AR	endocrine; central nervous system		drug abuse/dependence; decreased anxiety				increased body weight; insulin resistance; increased triglycerides; hot flashes; sexual dysfunction; bone pain; osteoporosis; bone metastasis; anemia; decreased memory; decreased attention; depression; heart attack; death					
Lynch et al. (2017)	ATP1A1	cardiovascular; renal						increased cardiac contractility; decreased heart rate; atrioventricular block; cardiac arrhythmia; ventricular fibrillation; increased urine excretion; increased urinary sodium excretion; vomiting					
Lynch et al. (2017)	ATP1A2	cardiovascular; renal						increased cardiac contractility; decreased heart rate; atrioventricular block; cardiac arrhythmia; ventricular fibrillation; increased urine excretion; increased urinary sodium excretion; vomiting					
Lynch et al. (2017)	ATP1A3	cardiovascular; renal						increased cardiac contractility; decreased heart rate; atrioventricular block; cardiac arrhythmia; ventricular fibrillation; increased urine excretion; increased urinary sodium excretion; vomiting					
Lynch et al. (2017)	ATP1A4	cardiovascular; renal						increased cardiac contractility; decreased heart rate; atrioventricular block; cardiac arrhythmia; ventricular fibrillation; increased urine excretion; increased urinary sodium excretion; vomiting					
Lynch et al. (2017)	ATP1B1	cardiovascular; renal						increased cardiac contractility; decreased heart rate; atrioventricular block; cardiac arrhythmia; ventricular fibrillation; increased urine excretion; increased urinary sodium excretion; vomiting					
Lynch et al. (2017)	ATP1B2	cardiovascular; renal						increased cardiac contractility; decreased heart rate; atrioventricular block; cardiac arrhythmia; ventricular fibrillation; increased urine excretion; increased urinary sodium excretion; vomiting					
Lynch et al. (2017)	ATP1B3	cardiovascular; renal						increased cardiac contractility; decreased heart rate; atrioventricular block; cardiac arrhythmia; ventricular fibrillation; increased urine excretion; increased urinary sodium excretion; vomiting					
Bowes et al. (2012)	AVPR1A	renal; cardiovascular system					water retention in body; increased blood pressure; decreased heart rate; myocardial fibrosis; cardiac hypertrophy; hyponatraemia						
Lynch et al. (2017)	AVPR1A	cardiovascular; renal; central nervous system		increased blood pressure; increased urinary sodium excretion; decreased body temperature; increased memory	myocardial hypertrophy			decreased urinary sodium excretion; decreased anxiety; decreased aggression					
Urban et al. (2012); HeCaToS	AVPR1A	cardiovascular system					myocardial fibrosis; hypertrophy; vasoconstriction; heart failure						
Lynch et al. (2017)	BDKRB2	cardiovascular; respiratory; renal; central nervous system		decreased blood pressure; bronchoconstriction; inflammation; increased urine excretion; increased urinary sodium excretion				decreased pain; decreased urinary sodium excretion					
Urban et al. (2012); HeCaToS	BDKRB2	cardiovascular system					arteriolar dilation/hypotension; smooth-muscle contraction; cough; nociception; angiogenesis; acute allergic inflammation				cardiomyopathy; hypertension; arrhythmia		
Bowes et al. (2012)	CACNA1C	cardiovascular system									vascular relaxation; decreased blood pressure; decreased PR interval; possible shortening of QT interval of ECG		
Lynch et al. (2017)	CACNA1C	cardiovascular; central nervous system		decreased locomotor activity; increased blood pressure; increased cardiac contractility; increased convulsions				decreased blood pressure; decreased cardiac contractility; increased PR interval; decreased/increased convulsions					
Urban et al. (2012); HeCaToS	CACNA1C	cardiovascular system; nervous system; gastrointestinal					increased mortality of heart failure patients; induction of seizures; increases in peripheral vascular resistance; increased systolic blood pressure; arrhythmia				hypotension; reflex tachycardia; arrhythmia; dizziness; headache; redness in the face; fluid buildup in the legs; effect on heart rate; constipation		
Lynch et al. (2017)	CALCRL	cardiovascular; nervous system; gastrointestinal; blood		decreased blood pressure; increased heart rate; increased cardiac contractility; facial flushing; increased pain; decreased gastric emptying; decreased blood calcium; decreased blood phosphate; increased blood glucose				decreased pain; increased blood pressure					
Bowes et al. (2012)	CCKAR	gastrointestinal					decreased food intake; gallbladder contraction; pancreatic enzyme secretion; increased gastrointestinal motility; activation of dopamine-mediated behaviour				increased development of gallstones		
Lynch et al. (2017)	CCKAR	gastrointestinal; gallbladder; nervous system		decreased eating; decreased gastric emptying; decreased gastrointestinal transit; gas; bloating; abdominal pain hypersenstivity; nausea; decreased locomotor activity; decreased body temperature; gallbladder contraction 	increased blood pressure; increased heart rate; anxiety; fatigue; decreased sleep			increased eating; increased gastric emptying; increased intestinal transit; cholestasis; cholelethiasis					
Urban et al. (2012); HeCaToS	CDK2	cardiovascular system					cardiomyocyte hyperproliferation						
Bowes et al. (2012)	CHRM1	central nervous system; gastrointestinal; cardiovascular system					proconvulsant; increased gastric acid secretion; hypertension; tachycardia; hyperthermia				decreased cognitive function; decreased gastric acid secretion; blurred vision		
Lynch et al. (2017)	CHRM1	nervous system; respiratory; gastrointestinal; cardiovascular; liver		increased salivation; frothing; lacrimation; increased respiratory rate; bronchospasm; cough; bronchorrhea;increased gastric acid secretion; abdominal cramps; vomiting; decreased locomotor activity; increased memory; irritability; decreased pupil diameter; blurred vision; increased convulsions; increased/decreased blood pressure; increased/decreased heart rate; increased body temperature; sweating; exhaustion; ptosis; muscle cramps; acidosis; neutrophil collection within the sinusoids; centrilobular liver congestion; liver failure				increased locomotor activity; decreased convulsions; decreased memory; decreased cognitive function; blurred vision; increased heart rate; decreased gastric acid secretion					
Urban et al. (2012); HeCaToS	CHRM1	cardiovascular system; gastrointestinal; nervous system					increased blood pressure; increased heart rate; increased sympathetic outflow; gastrointestinal side effects; may be involved in the regulation of circadian rhythm				disruption of cognitive functions such as learning and memory		
Bowes et al. (2012)	CHRM2	cardiovascular system					decreased heart rate; reflex; increased blood pressure; negative chronotropy and inotropy; decreased cardiac conduction (PR interval); decreased cardiac action potential duration				tachycardia; bronchoconstriction; tremors		
Lynch et al. (2017)	CHRM2	cardiovascular; respiratory; nervous system		decreased/increased heart rate; increased/decreased blood pressure; decreased PR interval; decreased/increased respiratory rate; bronchospasm; cough; bronchorrhea; pulmonary congestion; pulmonary hemorrhage; increased body temperature; sweating; exhaustion; ptosis; muscle cramps; acidosis; irritability; decreased pupil diameter; blurred vision; increased salivation; frothing; lacrimation				increased heart rate; bronchoconstriction; tremors					
Urban et al. (2012); HeCaToS	CHRM2	cardiovascular system					bradycardia; vagal effects (key role in control of heart rate and smooth muscle activity)				palpitations; dysrhythmia; peripheral edema; tachycardia		
Bowes et al. (2012)	CHRM3	gastrointestinal; pulmonary					bronchoconstriction; increased salivation; gastrointestinal smooth muscle constriction; urinary smooth muscle constriction				constipation; blurred vision; pupil dilation; dry mouth		
Lynch et al. (2017)	CHRM3	gastrointestinal; nervous system; respiratory; cardiovascular; liver		increased salivation; frothing; lacrimation; abdominal cramps; diarrhea; increased respiratory rate; bronchoconstriction; bronchospasm; cough; bronchorrhea; pleural effusions; increased/decreased heart rate; increased/decreased blood pressure; increased body temperature; sweating; exhaustion; ptosis; muscle cramps; acidosis; irritability; decreased pupil diameter; blurred vision; neutrophil collection within the sinusoids; centrilobular liver congestion; liver failure				decreased gastric emptying; decreased intestinal transit; constipation; decreased salivation; dry mouth; increased pupil diameter; blurred vision					
Lynch et al. (2017)	CHRM4	nervous system; cardiovascular		increased salivation; frothing; lacrimation; sweating; exhaustion; ptosis; muscle cramps; irritability; decreased pupil diameter; blurred vision; decreased blood pressure; decreased heart rate; catalepsy									
Lynch et al. (2017)	CHRM5	nervous system		increased salivation									
Bowes et al. (2012)	CHRNA1	central nervous system; cardiovascular system; gastrointestinal; pulmonary					paralysis; analgesia; increased heart rate; palpitations; nausea; abuse potential				muscle relaxation; constipation; apnoea; decreased blood pressure; decreased heart rate		
Urban et al. (2012); HeCaToS	CHRNA1	cardiovascular system; nervous system; respiratory; gastrointestinal					modulation of neurotransmitters (e.g. dopaminergic, serotoninergic, glutamatergic) with effects on cognitive and motor function. They exhibit analgesic activity (epibatidine) and may stimulate autonomic cardiovascular, respiratory, and gastrointestinal function (palpitation/nausea)				muscle relaxant; antihypertensive agent		
Bowes et al. (2012)	CHRNA4	central nervous system; cardiovascular system; gastrointestinal; pulmonary					paralysis; analgesia; increased heart rate; palpitations; nausea; abuse potential				muscle relaxation; constipation; apnoea; decreased blood pressure; decreased heart rate		
Bowes et al. (2012)	CNR1	central nervous system					euphoria; dysphoria; anxiety; memory impairment; poor concentration; analgesia; hypothermia				increased weight loss; emesis; depression		
Lynch et al. (2017)	CNR1	nervous system; cardiovascular		decreased pain; decreased locomotor activity; catalepsy; drowsiness; decreased convulsions; decreased blood pressure; decreased heart rate; decreased body temperature; dizziness; nervousness; dysphoria; headache; increased eating; hallucinations; drug abuse/dependence				increased convulsions; decreased eating					
Bowes et al. (2012)	CNR2	Immune									increased inflammation; decreased bone mass		
Lynch et al. (2017)	CNR2	Immune; nervous system		decreased pain; decreased inflammation				increased inflammation					
Bowes et al. (2012)	DRD1	cardiovascular system; central nervous system					vascular relaxation; decreased blood pressure; headaches; dizziness; nausea; natriuresis; abuse potential				dyskinesia; parkinsonian symptoms (tremors); anti-emetic effects; depression; anxiety; suicidal intent		
Lynch et al. (2017)	DRD1	central nervous system; renal; cardiovascular		increased/decreased locomotor activity; dyskinesia; increased arousal; psychosis; drug abuse/dependence; convulsions; neurodegeneration; headache; dizziness; nausea; increased urine excretion; increased urinary sodium excretion; decreased blood pressure	fibrotic valvular heart disease; heart failure			decreased locomotor activity; dyskinesia; parkinsonism; depression; anxiety; suicidal intent; catalepsy; decreased convulsions; increased blood pressure					
Bowes et al. (2012)	DRD2	cardiovascular system; central nervous system; endocrine					decreased heart rate; syncope; hallucinations; confusion; drowsiness; increased sodium excretion; emesis; decreased pituitary hormone secretions				orthostatic hypotension; drowsiness; increased gastrointestinal motility		
Lynch et al. (2017)	DRD2	central nervous system; gastrointestinal; cardiovascular; renal		decreased/increased Locomotor activity; drowsiness; stereotypy; confusion; hallucinations; drug abuse/dependence; vomiting; decreased gastrointestinal transit; decreased body temperature; decreased pain; decreased convulsions; decreased blood pressure; decreased heart rate; fainting; increased urinary sodium excretion; decreased pituitary hormone secretion	fibrotic valvular heart disease; heart failure			decreased locomotor activity; catalepsy; increased convulsions; increased gastrointestinal transit; increased blood pressure; orthostatic hypotension; drowsiness; increased urine excretion; increased urinary sodium excretion					
Bowes et al. (2012)	EDNRA	cardiovascular system; development					increased blood pressure; aldosterone secretion; osteoblast proliferation			teratogenicity			
Lynch et al. (2017)	EDNRA	cardiovascular; renal; nervous system; gastrointestinal		decreased heart rate; increased blood pressure; increased cardiac contractility; bronchoconstriction; increased pain; increased cell proliferation; increased aldosterone secretion; pulmonary left ventricular hypertrophy; glomerular and tubulointerstitial structural injury				increased heart rate; decreased blood pressure; decreased urine excretion; decreased pain; decreased gastric emptying; decreased intestinal transit		cardiac anomaly; abnormal face; cleft palate; thymic hypoplasia; chromosome 22 deletions			
Urban et al. (2012); HeCaToS	EDNRA	cardiovascular system					vasoconstriction; bronchoconstriction; aldosterone secretion; osteoblast proliferation			teratogenicity			
Lynch et al. (2017)	EDNRB	cardiovascular; respiratory; blood; renal; gastrointestinal		decreased then increased blood pressure; increased then decreased heart rate; pulmonary hypertension; left ventricular hypertrophy; bronchoconstriction; decreased platelet aggregation; cell proliferation; glomerular and tubulointerstitial structural injury				increased blood pressure; decreased urine excretion; decreased gastric emptying; decreased intestinal transit; decreased pain		cardiovascular malformations; craniofacial abnormalities			
Urban et al. (2012); HeCaToS	F2	cardiovascular system									thrombin-deficient mice were found to be prone to fatal hemorrhagic events		
Bowes et al. (2012)	GABRA1	central nervous system					anxiolysis; muscle relaxation; ataxia; anticonvulsant; abuse potential; sedation; dizziness; depression; anterograde amnesia				seizure (when used as a BZD antidote)		
Lynch et al. (2017)	GABRA1	central nervous system; cardiovascular		decreased locomotor activity; decreased body temperature; increased sleep; ataxia; decreased convulsions; decreased pain; decreased memory; decreased anxiety; drug abuse/dependence; muscle relaxation; decreased blood pressure; increased cardiac output; decreased cardiac contractility; increased respiratory rate; increased eating				convulsions; decreased sleep					
Lynch et al. (2017)	GABRA2	central nervous system; cardiovascular		decreased locomotor activity; decreased body temperature; increased sleep; ataxia; decreased convulsions; decreased pain; decreased memory; decreased anxiety; drug abuse/dependence; muscle relaxation; decreased blood pressure; increased cardiac output; decreased cardiac contractility; increased respiratory rate; increased eating				convulsions; decreased sleep					
Lynch et al. (2017)	GABRA3	central nervous system; cardiovascular		decreased locomotor activity; decreased body temperature; increased sleep; ataxia; decreased convulsions; decreased pain; decreased memory; decreased anxiety; drug abuse/dependence; muscle relaxation; decreased blood pressure; increased cardiac output; decreased cardiac contractility; increased respiratory rate; increased eating				convulsions; decreased sleep					
Lynch et al. (2017)	GABRA4	central nervous system; cardiovascular		decreased locomotor activity; decreased body temperature; increased sleep; ataxia; decreased convulsions; decreased pain; decreased memory; decreased anxiety; drug abuse/dependence; muscle relaxation; decreased blood pressure; increased cardiac output; decreased cardiac contractility; increased respiratory rate; increased eating				convulsions; decreased sleep					
Lynch et al. (2017)	GABRA5	central nervous system; cardiovascular		decreased locomotor activity; decreased body temperature; increased sleep; ataxia; decreased convulsions; decreased pain; decreased memory; decreased anxiety; drug abuse/dependence; muscle relaxation; decreased blood pressure; increased cardiac output; decreased cardiac contractility; increased respiratory rate; increased eating				convulsions; decreased sleep					
Lynch et al. (2017)	GABRA6	central nervous system; cardiovascular		decreased locomotor activity; decreased body temperature; increased sleep; ataxia; decreased convulsions; decreased pain; decreased memory; decreased anxiety; drug abuse/dependence; muscle relaxation; decreased blood pressure; increased cardiac output; decreased cardiac contractility; increased respiratory rate; increased eating				convulsions; decreased sleep					
Lynch et al. (2017)	GABRG1	central nervous system; cardiovascular		decreased locomotor activity; decreased body temperature; increased sleep; ataxia; decreased convulsions; decreased pain; decreased memory; decreased anxiety; drug abuse/dependence; muscle relaxation; decreased blood pressure; increased cardiac output; decreased cardiac contractility; increased respiratory rate; increased eating				convulsions; decreased sleep					
Lynch et al. (2017)	GABRG2	central nervous system; cardiovascular		decreased locomotor activity; decreased body temperature; increased sleep; ataxia; decreased convulsions; decreased pain; decreased memory; decreased anxiety; drug abuse/dependence; muscle relaxation; decreased blood pressure; increased cardiac output; decreased cardiac contractility; increased respiratory rate; increased eating				convulsions; decreased sleep					
