Ref	Target	Main organ/system affected	Unspecified mechanism effects_General	Agonism/Activation effects_Acute dosing	Agonism/Activation effects_Chronic dosing	Agonism/Activation effects_Developmental toxicity	Agonism/Activation effects_General	Antagonism/Inhibition effects_Acute dosing	Antagonism/Inhibition effects_Chronic dosing	Antagonism/Inhibition effects_Developmental toxicity	Antagonism/Inhibition effects_General		
Lynch et al. (2017)	GABRG3	central nervous system; cardiovascular		decreased locomotor activity; decreased body temperature; increased sleep; ataxia; decreased convulsions; decreased pain; decreased memory; decreased anxiety; drug abuse/dependence; muscle relaxation; decreased blood pressure; increased cardiac output; decreased cardiac contractility; increased respiratory rate; increased eating				convulsions; decreased sleep					
Urban et al. (2012); HeCaToS	GHSR	cardiovascular system; endocrine					energy homeostasis; growth hormone release; adrenocorticotropic hormone release; cortisol release; appetite stimulation; hyperglycemia; reduced insulin secretion; hypotension				cardiovascular effects (might cause reduced rates of left ventricular contraction and relaxation, hypertension, tachycardia); might reduce gastric motility		
Bowes et al. (2012)	GRIN1	central nervous system					psychosis (schizophrenia-like); hallucinations; delirium and disoriented behaviour; seizures; neurotoxicity						
Lynch et al. (2017)	GRIN1	central nervous system; cardiovascular		pain; convulsions; increased blood pressure; increased then decreased heart rate				decreased pain; increased locomotor activity; ataxia; dizziness; decreased memory; psychosis; decreased convulsions; drug abuse/dependence; neurotoxicity; increased blood pressure; increased heart rate	impaired social interactions; stereotypy; psychosis; neurodegeneration				
Lynch et al. (2017)	GRIN2A	central nervous system; cardiovascular		pain; convulsions; increased blood pressure; increased then decreased heart rate				decreased pain; increased locomotor activity; ataxia; dizziness; decreased memory; psychosis; decreased convulsions; drug abuse/dependence; neurotoxicity; increased blood pressure; increased heart rate	impaired social interactions; stereotypy; psychosis; neurodegeneration				
Lynch et al. (2017)	GRIN2B	central nervous system; cardiovascular		pain; convulsions; increased blood pressure; increased then decreased heart rate				decreased pain; increased locomotor activity; ataxia; dizziness; decreased memory; psychosis; decreased convulsions; drug abuse/dependence; neurotoxicity; increased blood pressure; increased heart rate	impaired social interactions; stereotypy; psychosis; neurodegeneration				
Lynch et al. (2017)	GRIN2C	central nervous system; cardiovascular		pain; convulsions; increased blood pressure; increased then decreased heart rate				decreased pain; increased locomotor activity; ataxia; dizziness; decreased memory; psychosis; decreased convulsions; drug abuse/dependence; neurotoxicity; increased blood pressure; increased heart rate	impaired social interactions; stereotypy; psychosis; neurodegeneration				
Lynch et al. (2017)	GRIN2D	central nervous system; cardiovascular		pain; convulsions; increased blood pressure; increased then decreased heart rate				decreased pain; increased locomotor activity; ataxia; dizziness; decreased memory; psychosis; decreased convulsions; drug abuse/dependence; neurotoxicity; increased blood pressure; increased heart rate	impaired social interactions; stereotypy; psychosis; neurodegeneration				
Lynch et al. (2017)	GRIN3A	central nervous system; cardiovascular		pain; convulsions; increased blood pressure; increased then decreased heart rate				decreased pain; increased locomotor activity; ataxia; dizziness; decreased memory; psychosis; decreased convulsions; drug abuse/dependence; neurotoxicity; increased blood pressure; increased heart rate	impaired social interactions; stereotypy; psychosis; neurodegeneration				
Lynch et al. (2017)	GRIN3B	central nervous system; cardiovascular		pain; convulsions; increased blood pressure; increased then decreased heart rate				decreased pain; increased locomotor activity; ataxia; dizziness; decreased memory; psychosis; decreased convulsions; drug abuse/dependence; neurotoxicity; increased blood pressure; increased heart rate	impaired social interactions; stereotypy; psychosis; neurodegeneration				
Bowes et al. (2012)	HRH1	cardiovascular system; immune					decreased blood pressure; allergic responses of flare, flush and wheal; bronchoconstriction				sedation; decreased allergic responses; increased body weight		
Lynch et al. (2017)	HRH1	immune; nervous system; cardiovascular; gastrointestinal		inflammation; facial swelling; tongue swelling; flushing; skin rash; scratching; sweating; bronchoconstriction; decreased convulsions; increased pain; decreased blood pressure; increased drinking; abdominal cramps; diarrhea				decreased inflammation; decreased pain; increased sleep; sedation; increased locomotor activity; increased convulsions; decreased/increased blood pressure; increased heart rate; increased QTc interval; cardiac arrhythmia; decreased gastrointestinal transit; increased body weight					
Bowes et al. (2012)	HRH2	gastrointestinal; cardiovascular system					increased gastric acid secretion; emesis; positive inotropy				decreased gastric acid secretion		
Lynch et al. (2017)	HRH2	gastrointestinal; immune; cardiovascular		increased gastric acid secretion; increased gastric emptying; inflammation; increased heart rate; decreased blood pressure; increased drinking				decreased gastric acid secretion; decreased gastric emptying; decreased eating; decreased inflammation; decreased pain					
Urban et al. (2012); HeCaToS	HRH2	cardiovascular system; gastrointestinal					stimulation of gastric acid secretion; positive inotropic effect on the human ventricle; emesis				reduction of gastric acid secretion		
Bowes et al. (2012)	HTR1A	central nervous system; endocrine					decreased body temperature; reduced REM sleep; increased adrenocorticotropic hormone; cortisol secretion; growth hormone secretion				potentially anxiogenic		
Lynch et al. (2017)	HTR1A	nervous system; cardiovascular; endocrine		decreased/increased locomotor activity; decreased aggression; decreased anxiety; decreased memory; increased/decreased sleep; decreased pain; increased/decreased pupil diameter; stereotypy; decreased body temperature; decreased blood pressure; increased heart rate; increased adrenocorticotropic hormone; cortisol secretion; growth hormone secretion				increased locomotor activity;decreased anxiety; increased memory; decreased sleep; paresthesia; dizziness; visual disturbances					
Bowes et al. (2012)	HTR1B	cardiovascular system; central nervous system					cerebral and coronary artery vasoconstriction; increased blood pressure				increased aggression		
Lynch et al. (2017)	HTR1B	nervous system; cardiovascular		decreased aggression; decreased anxiety; decreased memory; decreased pain; decreased eating; decreased body temperature; increased blood pressure				increased aggression; decreased anxiety; increased memory					
Bowes et al. (2012)	HTR2A	cardiovascular system; central nervous system					smooth muscle contraction; platelet aggregation; potential memory impairments; hallucinations; schizophrenia; serotonin syndrome						
Lynch et al. (2017)	HTR2A	nervous system; blood; cardiovascular		platelet aggregation; increased heart rate; increased blood pressure; increased body temperature; sweating; increased pain; increased pupil diameter; myoclonus; hyperreflexia; agitation; decreased memory; stereotypy; hypervigilance; hallucinations; psychosis; drug abuse/dependence				decreased platelet aggregation; decreased body temperature; decreased pain; decreased inflammation; increased sleep					
Bowes et al. (2012)	HTR2B	cardiovascular system; pulmonary; development					potential cardiac valvulopathy; pulmonary hypertension			possible cardiac effects, especially during embryonic development			
Lynch et al. (2017)	HTR2B	cardiovascular; nervous system; gastrointestinal		cardiac valvulopathy; pulmonary hypertension; increased pain; decreased anxiety				decreased gastrointestinal transit; decreased pain		cardiovascular malformations			
Urban et al. (2012); HeCaToS	HTR2B	cardiovascular system					cardiac valvulopathy; hypertension; withdrawal of pergolide products			possible effect on cardiac development leading to cardiomyopathy (based on knockout mouse data)			
Lynch et al. (2017)	HTR2C	nervous system		decreased eating; penile erection; increased anxiety; decreased memory; decreased locomotor activity; abnormal mouth movements; increased convulsions				decreased anxiety; increased memory; drug abuse/dependence; decreased convulsions					
Bowes et al. (2012)	HTR3A	gastrointestinal; endocrine					emesis; gastric emptying; hyperglycaemia; possible increased heart rate				constipation; dizziness		
Lynch et al. (2017)	HTR3A	gastrointestinal; cardiovascular; central nervous system		increased gastric emptying; increased gastrointestinal transit; vomiting; increased heart rate; increased blood pressure; apnea; decreased memory; drug abuse/dependence				decreased gastrointestinal transit; constipation; hard stool; abdominal distension; ischemic colitis; decreased pain; decreased inflammation; increased memory; decreased anxiety; dizziness					
Lynch et al. (2017)	HTR4	gastrointestinal; cardiovascular; central nervous system		increased gastrointestinal transit; diarrhea; increased gastric emptying; increased heart rate; increased QTc interval; decreased blood pressure; fainting; decreased blood volume; increased memory				decreased gastrointestinal transit; decreased anxiety					
Lynch et al. (2017)	HTR7	nervous system; immune		increased memory; decreased sleep; decreased body temperature; decreased/increased pain; decreased inflammation				increased/decreased memory; decreased sleep; decreased pain; decreased anxiety					
Bowes et al. (2012)	KCNE1	cardiovascular system					atrial fibrillation				long QT syndrome; potential hearing impairment; deafness; gastrointestinal symptoms		
Bowes et al. (2012)	KCNH2	cardiovascular system									prolongation of QT interval of ECG		
Lynch et al. (2017)	KCNJ11	cardiovascular; pancreas; renal		decreased blood pressure; increased heart rate; abnormal pulse; cardiac arrhythmia; cardiac lesions; decreased blood insulin; increased/decreased blood glucose; decreased convulsions				decreased heart rate; atrioventricular block; increased blood insulin; decreased blood glucose; increased urine excretion; increased urinary sodium excretion					
Lynch et al. (2017)	KCNJ8	cardiovascular; pancreas; renal		decreased blood pressure; increased heart rate; abnormal pulse; cardiac arrhythmia; cardiac lesions; decreased blood insulin; increased/decreased blood glucose; decreased convulsions				decreased heart rate; atrioventricular block; increased blood insulin; decreased blood glucose; increased urine excretion; increased urinary sodium excretion					
Lynch et al. (2017)	KCNN1	central nervous system; cardiovascular		decreased convulsions; ataxia; decreased locomotor activity				increased atrial refractory period; convulsions; neurotoxicity					
Lynch et al. (2017)	KCNN2	central nervous system; cardiovascular		decreased convulsions; ataxia; decreased locomotor activity				increased atrial refractory period; convulsions; neurotoxicity					
Lynch et al. (2017)	KCNN3	central nervous system; cardiovascular		decreased convulsions; ataxia; decreased locomotor activity				increased atrial refractory period; convulsions; neurotoxicity					
Lynch et al. (2017)	KCNN4	central nervous system; cardiovascular		decreased convulsions; ataxia; decreased locomotor activity				increased atrial refractory period; convulsions; neurotoxicity					
Bowes et al. (2012)	KCNQ1	cardiovascular system					atrial fibrillation				long QT syndrome; potential hearing impairment; deafness; gastrointestinal symptoms		
Urban et al. (2012); HeCaToS	KCNQ1	cardiovascular system					atrial fibrillation				long QT syndrome; hearing impairment; deafness; gastrointestinal symptoms		
Bowes et al. (2012)	LCK	Immune					T cell activation				T cell inhibition; SCID-like immunodeficiency		
Bowes et al. (2012)	MAOA	cardiovascular system; central nervous system									increased blood pressure when combined with amines such as tyramine; drug-drug interaction potential; dizziness; sleep disturbances; nausea		
Lynch et al. (2017)	MAOA	Pharmaco-kinetics; central nervous system						drug-drug interactions; decreased anxiety; decreased aggression; dizziness; nausea; sleep disturbances; fatigue; weakness; tremors					
Urban et al. (2012); HeCaToS	MAOA	cardiovascular system; central nervous system									hypertensive when combined with pressor amines such as tyramine present in cheese: inhibitors may induce severe hypertensive crisis (known as "cheese reaction"); centrally mediated side effects such as the serotonin syndrome, dizziness, blurred vision, weakness, and hypomania		
Lynch et al. (2017)	MTNR1B	central nervous system		increased sleep; nightmares; decreased pain; decreased anxiety; increased memory; decreased blood pressure; abdominal pain				decreased sleep; decreased memory					
Lynch et al. (2017)	NPY1R	gastrointestinal; immune; nervous system		decreased/increased inflammation; decreased pain				decreased eating					
Urban et al. (2012); HeCaToS	NPY1R	cardiovascular system; nervous system					anxiolytic effects; vasoconstriction (vasodilation in subcutaneous arteries); smooth-muscle cell growth leading to atherosclerosis, restenosis, stroke; may result in stimulation of feeding behavior				vasodilation (especially venous); increase in anxiety-related effects		
Bowes et al. (2012)	NR3C1	endocrine; immune					immunosuppression; hyperglycaemia; insulin resistance; muscle wasting; increased body weight; osteoporosis; glaucoma; increased blood pressure; decreased plasma potassium; cardiac arrhythmia				hypoglycaemia		
Lynch et al. (2017)	NR3C1	endocrine; immune; nervous system		decreased inflammation; decreased pain; increased memory; increased blood pressure; increased urinary sodium excretion; increased blood glucose; insulin resistance; osteoporosis; decreased muscle mass; lipid redistribution; decreased wound repair				increased inflammation; increased/decreased pain; decreased memory; fatigue; decreased blood potassium; edema; endometrial thickening					
Bowes et al. (2012)	OPRD1	central nervous system; cardiovascular system					analgesia; dysphoria; psychomimetic effects; cardiovascular effects; convulsion				increased blood pressure; increased cardiac contractility		
Lynch et al. (2017)	OPRD1	central nervous system		decreased pain; euphoria; increased locomotor activity; convulsions; respiratory depression; decreased body temperature; decreased gastrointestinal transit				increased pain; increased anxiety					
Urban et al. (2012); HeCaToS	OPRD1	cardiovascular system; nervous system					analgesia; dysphoria; psychomimetic effects; cardiovascular effects; convulsion; many d agonists may cause seizures and convulsions at high doses, although not all d agonists produce this effect; all the subtype selective opiate receptor agonists have effects on the heart; respiratory depression may be associated with opioid treatment				selective d-opioid receptor antagonists but not mu antagonist increase blood pressure, cardiac output, contractibility, and bloodflow to the heart, kidneys, gastrointestinal tract and skeletal muscle in conscious dog with right heart failure		
Bowes et al. (2012)	OPRK1	gastrointestinal; central nervous system; cardiovascular system					decreased gastrointestinal motility; increased urinary output; sedation; dysphoria; confusion; dizziness; decreased locomotion; tachycardia						
Lynch et al. (2017)	OPRK1	nervous system; cardiovascular;gastrointestinal		decreased pain; decreased convulsions; decreased locomotor activity; increased anxiety; dysphoria; dizziness; confusion; hallucinations; drug abuse/dependence; decreased body temperature; decreased blood pressure; decreased/increased heart rate; decreased cardiac contractility; decreased inflammation; decreased gastrointestinal transit; decreased then increased drinking; increased urine excretion; increased/decreased eating				increased pain; increased convulsions; decreased anxiety; decreased drinking; decreased eating					
Urban et al. (2012); HeCaToS	OPRK1	cardiovascular system; nervous system					analgesia; sedation; hypotension; tachycardia; diuresis; dysphoria; dizziness; paresthesia; antipruritic effects; interaction with dopaminergic transmission and hallucination; psychotomimetic effects. In case of mixed (partial) agonist/antagonist analgesic drugs, psychotomimesis is undesirable and serves to limit abuse potential						
Bowes et al. (2012)	OPRM1	central nervous system; gastrointestinal; cardiovascular system					sedation; decreased gastrointestinal motility; pupil constriction; abuse liability; respiratory depression; miosis; hypothermia				increased gastrointestinal motility; dyspepsia; flatulence		
Lynch et al. (2017)	OPRM1	nervous system; respiratory; gastrointestinal; cardiovascular; pancreas; renal		decreased pain; sedation; decreased/increased pupil diameter; decreased anxiety; scratching; decreased/increased convulsions; increased/decreased memory; drug abuse/dependence; decreased/increased body temperature; decreased respiratory rate; decreased gastric acid secretion; decreased gastric emptying; decreased gastrointestinal transit; decreased heart rate; decreased/increased blood pressure; decreased cardiac output; increased blood glucose; increased blood insulin; increased urine excretion; increased urinary sodium excretion				pain; increased/decreased convulsions; increased heart rate; increased blood pressure; decreased gastric emptying; increased gastrointestinal transit; dyspepsia; gas					
Lynch et al. (2017)	P2RX1	nervous system; immune; renal		increased pain; increased urine excretion; increased urinary sodium excretion; hemolysis	neurodegeneration			decreased pain; decreased inflammation; decreased convulsions					
Lynch et al. (2017)	P2RX2	nervous system; immune; renal		increased pain; increased urine excretion; increased urinary sodium excretion; hemolysis	neurodegeneration			decreased pain; decreased inflammation; decreased convulsions					
Lynch et al. (2017)	P2RX3	nervous system; immune; renal		increased pain; increased urine excretion; increased urinary sodium excretion; hemolysis	neurodegeneration			decreased pain; decreased inflammation; decreased convulsions					
Lynch et al. (2017)	P2RX4	nervous system; immune; renal		increased pain; increased urine excretion; increased urinary sodium excretion; hemolysis	neurodegeneration			decreased pain; decreased inflammation; decreased convulsions					
Lynch et al. (2017)	P2RX5	nervous system; immune; renal		increased pain; increased urine excretion; increased urinary sodium excretion; hemolysis	neurodegeneration			decreased pain; decreased inflammation; decreased convulsions					
Lynch et al. (2017)	P2RX6	nervous system; immune; renal		increased pain; increased urine excretion; increased urinary sodium excretion; hemolysis	neurodegeneration			decreased pain; decreased inflammation; decreased convulsions					
Lynch et al. (2017)	P2RX7	nervous system; immune; renal		increased pain; increased urine excretion; increased urinary sodium excretion; hemolysis	neurodegeneration			decreased pain; decreased inflammation; decreased convulsions					
Bowes et al. (2012)	PDE3A	cardiovascular system									increased cardiac contractility; increased heart rate; decreased blood pressure; thrombocytopaenia; ventricular arrhythmia		
Lynch et al. (2017)	PDE3A	cardiovascular; blood						increased cardiac contractility; increased heart rate; decreased blood pressure; ventricular arrhythmia; decreased platelets; decreased platelet aggregation; decreased female fertility					
Urban et al. (2012); HeCaToS	PDE3A	cardiovascular system							increased mortality in heart failure patients; thrombocytopenia		could induce ventricular arrhythmias in ~10% of patients; tachycardia; hypotension		
Urban et al. (2012); HeCaToS	PDE3B	cardiovascular system							increased mortality in heart failure patients; thrombocytopenia		could induce ventricular arrhythmias in ~10% of patients; tachycardia; hypotension		
Bowes et al. (2012)	PDE4D	central nervous system; immune									anti-inflammatory activities; antidepressant-like activities; emesis; vasculitis; arteritis; possible thymus atrophy		
Lynch et al. (2017)	PPARG	renal; cardiovascular; immune		decreased urine excretion; decreased urinary sodium excretion; increased water retention; increased plasma volume; increased body weight; increased heart weight; heart failure; decreased inflammation; decreased platelet aggregation; decreased blood glucose				increased inflammation					
Lynch et al. (2017)	PTAFR	immune; respiratory; blood; cardiovascular; renal		inflammation; pain; bronchoconstriction;increased airway responsiveness to antigens; platelet aggregation; decreased cardiac contractility; decreased blood pressure; decreased heart rate; decreased urine excretion; decreased urinary sodium excretion				decreased inflammation; decreased pain					
Lynch et al. (2017)	PTGER2	immune; urogenital		increased/decreased inflammation; decreased uterine motility				decreased/increased inflammation					
Bowes et al. (2012)	PTGS1	gastrointestinal; pulmonary; renal									gastric bleeding;  pulmonary bleeding; dyspepsia; renal dysfunction		
Bowes et al. (2012)	PTGS2	Immune; cardiovascular system									anti-inflammatory activity; anti-mitogenic effects; myocardial infarction; increased blood pressure; ischaemic stroke; atherothrombosis		
Lynch et al. (2017)	PTGS2	immune; renal; cardiovascular						decreased inflammation; decreased pain; decreased urinary sodium excretion; decreased urinary potassium excretion; decreased mitosis; atherothrombosis; heart attack; ischemic stroke	 increased blood pressure; thrombosis; atherosclerosis				
Urban et al. (2012); HeCaToS	PTGS2	cardiovascular system									antiinflammatory; inhibits some mitogenic actions; increased risk of adverse cardiovascular events (heart failure, clotting); increased risk of wound infections; supraventricular tachycardia; hypotension; myocardial infarction; cerebrovascular events have been reported		
Lynch et al. (2017)	SCN1B	nervous system; cardiovascular; respiratory		decreased locomotor activity; convulsions; dyspnea; increased heart rate; cardiac arrhythmia				decreased pain; agitation; decreased sweating; increased pupil diameter; decreased/increased convulsions; decreased/increased heart rate; decreased blood pressure; decreased cardiac contractility; decreased cardiac conduction; increased QRS complex; cardiac arrhythmia; decreased respiratory rate; decreased gastrointestinal transit; decreased urine excretion; coma					
Lynch et al. (2017)	SCN2B	nervous system; cardiovascular; respiratory		decreased locomotor activity; convulsions; dyspnea; increased heart rate; cardiac arrhythmia				decreased pain; agitation; decreased sweating; increased pupil diameter; decreased/increased convulsions; decreased/increased heart rate; decreased blood pressure; decreased cardiac contractility; decreased cardiac conduction; increased QRS complex; cardiac arrhythmia; decreased respiratory rate; decreased gastrointestinal transit; decreased urine excretion; coma					
Lynch et al. (2017)	SCN3B	nervous system; cardiovascular; respiratory		decreased locomotor activity; convulsions; dyspnea; increased heart rate; cardiac arrhythmia				decreased pain; agitation; decreased sweating; increased pupil diameter; decreased/increased convulsions; decreased/increased heart rate; decreased blood pressure; decreased cardiac contractility; decreased cardiac conduction; increased QRS complex; cardiac arrhythmia; decreased respiratory rate; decreased gastrointestinal transit; decreased urine excretion; coma					
Lynch et al. (2017)	SCN4B	nervous system; cardiovascular; respiratory		decreased locomotor activity; convulsions; dyspnea; increased heart rate; cardiac arrhythmia				decreased pain; agitation; decreased sweating; increased pupil diameter; decreased/increased convulsions; decreased/increased heart rate; decreased blood pressure; decreased cardiac contractility; decreased cardiac conduction; increased QRS complex; cardiac arrhythmia; decreased respiratory rate; decreased gastrointestinal transit; decreased urine excretion; coma					
Bowes et al. (2012)	SCN5A	cardiovascular system									slowed cardiac conduction; prolonged QRS interval of ECG		
Urban et al. (2012); HeCaToS	SCN5A	cardiovascular system									long QT; arrhythmias; TdP; polymorphic ventricular tachycardia		
Lynch et al. (2017)	SIGMAR1	nervous system		decreased convulsions; increased memory; decreased anxiety; hallucinations; drug abuse/dependence				decreased pain					
Urban et al. (2012); HeCaToS	SLC29A1	cardiovascular system									peripheral and central vasodilation; inhibition of platelet aggregation; promotion of sleep; angina pectoris; dizziness; hypotension; rare (0.1%) serious side effects have been observed with the ENT1 inhibitor dipyridamole when given IV for 4 min: cardiac death, fatal and nonfatal myocardial infarction, ventricular fibrillation, symptomatic ventricular tachycardia, stroke, transient cerebral ischemia, seizures, anaphylactoid reaction, and bronchospasm (from the drug label)		
Bowes et al. (2012)	SLC6A2	central nervous system; cardiovascular system									increased heart rate; increased blood pressure; increased locomotor activity; constipation; abuse potential		
Lynch et al. (2017)	SLC6A2	cardiovascular; nervous system						increased blood pressure; increased heart rate; increased QTc interval; increased cardiac output; orthostatic hypotension; ventricular hypertrophy; decreased eating; constipation; decreased salivation; urinary hesitancy; decreased pain; decreased locomotor activity; decreased sleep; sweating; decreased pupillary reflex; blurred vision; drug abuse/dependence					
Urban et al. (2012); HeCaToS	SLC6A2	cardiovascular system									congestive heart failure; hypertension (supine); tachycardia; may be useful for treatment of ADHD (atomoxetine) and depression		
Bowes et al. (2012)	SLC6A3	central nervous system									addictive psychostimulation; depression; parkinsonism; seizures; dystonia; dyskinesia; acne		
Lynch et al. (2017)	SLC6A3	nervous system		decreased motor strength; decreased motor coordination				increased locomotor activity; stereotypy; psychostimulation; drug abuse/dependence; convulsions; depression; parkinsonism; dyskinesia; dystonia; acne					
Bowes et al. (2012)	SLC6A4	central nervous system; cardiovascular system									increased gastrointestinal motility; decreased upper gastrointestinal transit; decreased plasma renin; increased other serotonin-mediated effects; insomnia; anxiety; nausea; sexual dysfunction		
Lynch et al. (2017)	SLC6A4	central nervous system; blood; cardiovascular; gastrointestinal		pulmonary hypertension				decreased/increased anxiety; decreased/increased locomotor activity; decreased platelet aggregation; nausea; decreased appetite; decreased eating; decreased body weight; diarrhea; constipation; dry mouth; headache; dizziness;decreased sleep; agitation; tremor					
Urban et al. (2012); HeCaToS	SLC6A4	cardiovascular system; nervous system; gastrointestinal									insomnia; anxiety; nausea and vomiting; sexual dysfunction; gastrointestinal cramps; diarrhea; headache; valvular heart disease; primary pulmonary hypertension		
Lynch et al. (2017)	TACR1	nervous system; immune; gastrointestinal; gonad		pain; inflammation; vomiting; decreased gastric emptying; increased intestinal transit; bronchoconstriction; decreased blood pressure				decreased pain; decreased inflammation; decreased locomotor activity; decreased anxiety; decreased gonadotrophic hormones; testicular degeneration; delayed/absent sexual maturity					
Lynch et al. (2017)	TACR2	gastrointestinal; immune; gonad		increased intestinal transit; increased urinary bladder contractions; bronchoconstriction				decreased intestinal transit; decreased pain; decreased inflammation; decreased anxiety; testicular degeneration; delayed/absent sexual maturity					
Urban et al. (2012); HeCaToS	TBXA2R	cardiovascular system					vasoconstriction; bronchoconstriction; platelet aggregation; myocardial ischemia; heart failure				could cause bleeding by inhibiting platelet aggregation		
Lynch et al. (2017)	TNFRSF1A	immune		inflammation; increased pain; decreased blood pressure				decreased pain; lupus-like syndrome; sarcoidosis					
Lynch et al. (2017)	TSPO	central nervous system; immune		convulsions; decreased anxiety; decreased inflammation				decreased convulsions; decreased inflammation					
Lynch et al. (2017)	UTS2R	renal; cardiovascular		decreased cardiac contractility; decreased blood pressure; decreased urine excretion; decreased urinary sodium excretion; decreased urinary potassium excretion				increased urine excretion; increased urinary sodium excretion; decreased blood glucose; decreased inflammation; decreased blood pressure					
Lynch et al. (2017)	VIPR1	immune; gastrointestinal		decreased inflammation; immunosuppression; decreased gastrointestinal transit				inflammation; increased gastrointestinal transit					